#{"t_start": 1750917042.060564, "env_id": "None"}
r,l,t
204.638777,26,7.264354
214.698373,22,13.220795
189.597945,51,26.423167
203.696043,35,36.370681
205.601498,57,51.044171
229.726661,35,60.436255
254.554196,20,65.499082
208.803329,39,75.748791
206.204165,29,83.421255
209.380968,44,94.933303
230.829256,9,97.555255
243.453341,79,118.149088
199.913467,18,122.978976
199.200131,24,129.331476
208.714962,47,141.236058
179.909518,31,149.913876
602.161696,50,163.373278
221.927481,42,174.437429
220.000369,19,179.531236
213.23308,44,191.122614
199.379997,37,201.334834
204.662314,25,208.282268
220.499317,11,211.064763
213.666877,51,224.741001
