#{"t_start": 1750221080.4089699, "env_id": "None"}
r,l,t
225.477793,28,18.141217
206.891794,54,51.448137
558.838438,78,96.706583
201.647383,46,123.015194
217.404942,39,145.316288
193.764583,45,170.715412
546.74326,43,195.349489
215.654479,17,205.244675
568.471383,57,236.417106
204.557287,34,255.289448
223.362464,28,270.434053
198.201981,114,331.927007
224.796687,12,339.084716
209.997421,140,413.127336
222.626613,58,445.911647
201.336445,56,479.881102
203.882439,46,511.03532
572.496355,64,546.768009
592.948466,25,560.443569
225.286379,35,579.146853
557.332063,65,614.110286
196.655371,36,632.961862
246.860491,38,652.727995
219.332387,26,667.661909
560.313742,38,687.790112
197.282286,28,703.664898
269.78457,50,731.959579
185.873392,23,744.952425
209.742136,48,770.061001
189.548411,37,790.398756
199.632083,33,808.394306
196.697269,38,828.958866
203.81224,46,854.600066
191.063081,45,879.651027
238.802414,29,895.63603
215.858805,16,904.552598
223.937735,17,913.654477
205.994242,22,925.706481
204.999865,56,956.605849
198.902797,46,983.064878
556.870737,90,1033.333429
225.574438,54,1063.768336
188.586832,29,1081.144345
200.619457,40,1103.416987
245.195969,47,1129.463768
191.056059,54,1158.155136
199.806836,79,1202.070671
211.35367,15,1210.665463
191.638997,24,1224.183362
185.470861,58,1255.918807
210.214488,74,1296.032676
212.79652,79,1337.192192
212.333802,35,1356.93735
205.976694,56,1387.085489
562.177089,50,1414.416773
200.948953,64,1449.289383
206.668311,40,1471.227441
203.894175,48,1497.002311
234.932249,70,1533.981512
217.746298,79,1577.808253
195.332888,40,1600.452492
221.481674,48,1626.675642
195.515147,66,1661.905656
209.758109,11,1668.087917
200.634574,114,1729.187262
222.071251,26,1744.111801
184.406497,44,1768.09603
211.363889,42,1790.959048
193.521817,51,1818.019544
201.7946,49,1843.465378
214.315566,36,1864.185684
213.725691,41,1887.162944
200.701276,77,1929.858178
186.589203,55,1958.278646
212.400743,54,1987.05975
201.067263,28,2002.763464
206.553523,49,2029.000425
201.278888,64,2064.77405
207.616171,26,2079.629872
202.80452,44,2104.79117
258.328934,20,2115.116968
218.467226,31,2131.94571
202.888826,45,2156.143864
233.053621,107,2213.075945
217.446501,23,2225.679553
