#{"t_start": 1750917042.062422, "env_id": "None"}
r,l,t
235.820686,28,7.887789
212.413011,26,14.933851
561.114449,52,28.460659
222.550106,37,38.795365
192.745679,13,42.096809
211.557534,31,50.031248
226.058419,24,56.107247
189.484524,34,65.327177
279.024512,204,119.153381
222.301816,20,124.615538
205.841493,61,140.072189
198.33218,25,146.908202
204.927299,29,155.162682
205.850359,26,161.833082
202.186027,33,170.593932
190.436009,36,180.215469
216.928695,42,191.236189
207.013759,39,201.995386
194.914536,81,223.68242
234.210055,14,227.534779
