#{"t_start": 1750954740.857841, "env_id": "None"}
r,l,t
168.85249,18,3.433552
189.847439,16,5.649236
225.809991,32,9.943334
199.394625,69,19.441281
214.115312,97,31.879821
192.691751,66,40.460217
174.937428,27,44.219746
212.906895,24,47.735943
199.796718,76,57.797873
202.146874,28,61.582339
219.152882,23,64.856248
232.600164,12,66.738529
240.440014,59,74.461261
263.26026,79,84.739636
199.722967,25,88.493107
202.833596,45,94.635825
258.480326,38,99.937751
251.130879,41,105.306172
209.543655,35,109.922748
192.840196,53,117.102581
247.784902,38,122.193996
188.85537,23,125.21839
263.847937,25,128.371145
188.537847,22,131.416394
204.180534,40,136.342069
223.804751,39,141.419589
193.958254,38,147.035699
231.751429,35,151.535338
204.565744,36,155.937642
189.895674,45,161.766403
557.17965,68,170.524534
547.607919,90,182.458017
199.014494,28,186.139795
214.910454,19,188.460623
205.873827,29,192.132797
218.706177,35,197.013202
197.040249,24,200.008094
220.11957,46,206.087488
255.508895,46,212.022597
217.139168,42,217.722111
200.278189,104,231.363255
217.956055,9,232.674105
182.195488,34,237.477549
240.239573,14,239.267276
208.237915,43,245.076089
201.794144,51,251.941299
230.879744,47,258.074704
219.513663,57,265.606438
209.239543,52,272.446741
211.473412,48,278.479044
210.767687,35,282.917037
216.322583,83,293.575989
212.758919,72,302.853803
211.740885,95,315.461763
192.567281,37,320.36223
192.090508,40,325.56089
216.356209,22,328.329873
188.090635,48,334.830361
224.340781,57,342.086516
206.746788,40,347.4657
258.556984,28,351.098964
201.556638,118,366.71727
252.408461,28,370.720395
214.423609,68,379.397417
211.274318,51,386.098892
217.303986,25,389.374539
227.483579,11,390.79
239.6248,16,392.684759
224.951973,53,399.696634
207.838758,77,409.674603
191.919299,35,414.277032
202.885615,79,424.588839
555.523855,59,432.14314
218.376483,22,434.964552
206.323379,31,439.295881
200.902981,45,445.114804
226.89527,42,450.741617
212.613377,33,454.950008
555.904461,67,463.927878
220.156714,29,467.898065
241.325651,10,469.278749
211.693709,16,471.513281
225.448242,57,478.988124
566.626954,35,483.749386
188.025512,28,487.884115
207.816941,26,491.377
239.4203,100,504.859903
215.905696,29,508.598951
223.464939,69,517.401643
204.309342,21,520.1689
225.907846,39,525.559863
203.233075,48,532.103856
199.960219,35,536.67619
200.668924,44,542.500421
565.144911,38,554.697657
223.777086,18,557.188634
224.67879,26,560.462223
219.57525,24,563.666438
546.903605,55,570.800076
557.847486,64,579.458924
250.770522,43,585.281413
215.764392,17,587.717384
