#{"t_start": 1750954740.857841, "env_id": "None"}
r,l,t
201.687616,42,593.301565
234.279808,29,597.333975
214.3631,50,603.624646
217.913415,26,607.215064
203.929002,42,612.615529
198.695414,32,617.164533
190.550208,31,621.358228
243.569665,25,624.6655
190.920175,42,630.274313
206.263456,49,637.186371
207.448197,106,651.789217
228.798637,26,655.117067
230.574539,17,657.243181
247.708895,31,661.423401
209.528493,96,674.332349
203.035923,41,679.622598
204.558523,62,687.885667
229.730473,35,692.329632
208.10765,62,700.514777
227.312025,52,707.332625
196.511067,29,711.372141
252.406179,38,716.447327
201.435511,75,726.572151
214.457829,19,729.097744
216.729793,67,738.081709
203.105226,52,744.482516
208.086114,32,748.664657
222.386315,25,752.029855
213.092738,52,758.842399
186.789673,47,765.110263
212.540562,92,776.910934
207.926036,45,782.994563
205.067751,14,784.890305
203.795795,64,793.492673
212.531116,27,797.27815
216.520001,37,802.312485
228.519746,27,805.89106
210.679946,32,810.310739
216.743382,57,817.534864
560.147763,55,825.006723
190.03637,31,828.950309
232.060835,75,838.726256
224.675258,22,841.611395
221.15762,47,847.666497
219.111458,49,854.066381
206.537286,41,859.626157
219.562276,17,861.974054
228.499447,79,871.67496
210.668669,31,875.530046
213.961628,49,882.032005
205.439629,23,885.403509
206.766652,47,891.787565
219.377989,22,894.833917
203.902103,25,898.411342
550.096283,58,906.082371
212.180737,48,912.710653
213.992904,57,920.862543
206.352216,25,924.173412
225.973033,40,929.511572
219.56091,71,938.595771
247.40253,22,941.397522
213.519786,28,945.227047
195.100723,11,946.870465
202.862928,34,951.654027
199.86162,26,955.097929
215.4865,47,961.142822
207.806695,74,970.776881
196.966891,40,976.081865
198.539298,29,979.729845
195.116453,35,984.342757
209.008902,33,989.201181
211.356518,35,993.891794
225.660212,150,1013.28364
554.462072,130,1029.740196
193.719713,52,1036.897532
201.187018,63,1045.452658
215.897451,40,1050.894242
207.359478,16,1052.990527
232.576785,42,1058.226199
212.305396,25,1061.532609
214.274835,34,1066.39424
203.614842,74,1076.122846
259.945337,18,1078.525748
194.315718,24,1081.654983
207.020665,103,1102.005101
206.783235,85,1113.540231
563.400549,89,1125.260213
185.631763,27,1128.933003
216.179041,30,1132.954931
548.491324,88,1144.190537
212.627823,53,1151.25215
223.46594,26,1154.657379
215.535843,26,1158.180677
226.104916,10,1159.579692
201.172263,38,1164.516105
244.127979,37,1169.197423
206.83707,35,1173.822558
563.212389,50,1180.275097
208.283649,45,1186.22138
201.385433,49,1192.985801
212.61526,61,1201.229199
229.227088,30,1205.274699
185.800627,47,1211.77598
209.685992,53,1218.907582
209.748817,64,1227.342142
563.184585,59,1235.174003
219.301073,24,1238.576973
260.575812,25,1242.013527
203.537927,34,1246.760096
199.536357,25,1250.439618
202.752092,37,1255.426735
222.406014,48,1261.743449
236.58792,26,1265.060142
205.41645,30,1269.008214
236.080049,96,1281.290679
210.65658,43,1286.978046
203.269295,16,1289.225567
224.504994,14,1291.105184
210.015898,13,1293.102241
204.56914,36,1298.120927
217.902312,15,1300.155242
197.903345,55,1307.795985
204.286609,39,1313.32747
202.514217,19,1316.067321
580.984951,22,1319.019346
546.001507,70,1328.392299
213.072096,44,1334.334752
207.437208,75,1343.824221
219.077982,54,1350.94039
180.219073,28,1355.070702
289.487372,49,1361.806605
210.37674,39,1366.927217
206.675619,43,1372.584502
240.333329,86,1383.90779
206.493223,62,1392.16359
180.596198,18,1394.762224
215.542542,24,1398.33026
191.55269,40,1404.521956
550.549084,72,1413.961556
214.755513,14,1416.006762
200.443149,25,1419.206313
226.413908,73,1429.019707
561.989189,44,1434.695605
547.955485,41,1440.415896
197.976353,47,1446.515498
291.218498,18,1448.99421
204.528865,52,1455.8014
224.448599,47,1462.408265
204.628226,35,1467.099189
223.032413,44,1472.765091
225.691952,45,1478.940464
581.374698,86,1490.222171
236.973442,14,1491.940663
222.686506,46,1497.967023
199.735572,37,1503.16383
209.48826,44,1509.316366
213.260219,59,1516.746815
210.797566,69,1526.161427
224.139025,78,1536.467154
232.806117,32,1541.168462
200.268514,21,1544.509047
219.176539,15,1546.646574
205.528796,47,1553.208654
211.651017,22,1556.285936
205.270699,35,1561.017229
199.372196,90,1572.532313
220.826363,27,1576.520652
220.911565,83,1587.454461
211.193653,41,1592.87178
196.87371,102,1606.473379
196.467259,37,1611.251925
214.667437,54,1618.361442
207.367449,41,1623.844477
213.647847,54,1630.900445
219.104436,55,1638.372673
536.158966,51,1645.229918
212.542057,24,1648.392487
224.75294,52,1662.48974
670.588235,2,1662.848581
213.715712,51,1669.782025
252.288806,67,1678.643437
239.551517,49,1685.29903
590.279486,43,1797.482283
193.882391,24,1800.975641
203.119348,79,1810.938276
221.560488,49,1817.084896
216.957865,34,1821.496759
545.838637,43,1827.137835
187.221153,25,1830.318459
235.883339,44,1836.277111
216.6913,54,1842.944339
203.444701,54,1849.999872
245.831607,10,1851.418233
198.778944,44,1857.524369
178.231985,33,1861.880831
216.185533,17,1864.219931
256.311134,101,1877.2797
204.885739,15,1879.544182
562.787371,29,1883.137525
223.004512,24,1886.210892
238.209072,7,1887.26971
212.495603,31,1891.22737
224.316673,54,1898.192232
203.316622,26,1901.575106
572.984711,35,1906.347976
603.993768,82,1917.424384
184.230774,28,1921.198062
211.132215,49,1927.433917
203.057641,25,1930.971313
202.99416,160,1951.784275
239.961538,45,1957.673963
205.702808,44,1963.699215
215.053375,55,1971.074106
213.958354,23,1974.171927
565.691876,28,1978.163187
207.034512,25,1981.643122
235.362309,16,1983.691569
227.591501,13,1985.407885
196.78926,33,1989.969255
241.305884,39,1994.916372
208.40503,33,1999.170917
214.607357,25,2002.79062
202.665227,14,2004.837761
254.755665,46,2010.793421
217.094582,35,2015.291721
598.612221,25,2018.490524
227.510992,51,2024.830936
267.725816,20,2027.422445
591.826491,22,2030.195837
202.657126,44,2035.735182
223.001011,26,2039.016387
222.544135,39,2044.060468
221.262196,31,2048.007632
239.934024,73,2057.905711
207.21902,109,2071.69303
227.818811,20,2074.181197
192.374211,46,2080.275466
192.686382,31,2084.480578
230.136042,29,2088.159772
198.50501,22,2091.290528
239.203235,12,2092.843215
176.500235,22,2095.758767
214.95408,24,2099.093687
222.728911,13,2100.866845
234.910922,11,2102.269265
225.634652,19,2104.920433
216.726183,89,2116.411419
208.715411,20,2119.141805
213.441639,68,2128.331761
203.338253,39,2133.416159
201.256764,38,2138.789659
200.819077,41,2144.662218
235.76512,31,2148.741177
545.874371,42,2154.421734
212.019824,26,2158.217167
269.04777,58,2165.829549
247.754825,20,2168.432746
217.816753,18,2170.946023
207.340309,16,2173.107508
283.78266,23,2176.184203
573.504848,43,2181.655069
205.847084,53,2188.582592
235.255289,32,2193.203399
228.611167,58,2201.163772
195.009836,31,2205.618214
194.602508,35,2210.338015
206.904437,51,2217.382744
206.555785,25,2220.800508
235.36925,22,2223.84268
563.89746,65,2232.163147
557.854068,44,2237.709566
220.809422,17,2239.968867
248.858918,19,2242.570386
544.112707,69,2251.803176
191.914777,52,2258.952395
212.684235,21,2261.745136
188.799517,40,2266.919374
197.877879,39,2272.544805
243.968252,8,2273.570219
216.183678,28,2277.175388
237.571749,55,2284.141223
200.15813,43,2290.091605
189.173648,36,2295.585249
198.557983,31,2299.556991
210.282295,51,2306.217737
232.948462,42,2318.55441
209.488467,18,2321.269338
680.0,1,2321.417272
223.040075,40,2326.864921
203.839464,15,2328.761704
207.242835,39,2333.999696
561.227779,24,2337.557973
200.917858,23,2340.651295
665.904021,3,2341.116175
269.108278,38,2346.068168
249.043315,123,2361.356887
621.734318,5,2362.203989
209.525137,60,2370.102015
206.166606,33,2374.520055
225.680565,48,2380.518207
246.586766,23,2383.596368
246.736641,62,2391.324916
220.673515,37,2396.674126
247.009224,29,2400.431239
219.778207,54,2407.798358
238.579795,17,2410.012535
584.937459,10,2411.466937
223.809716,24,2414.660374
204.021713,32,2419.217025
222.076637,31,2423.316618
202.378268,64,2431.732531
224.084846,25,2435.110545
243.024216,40,2440.722817
236.116196,22,2443.84281
205.217587,15,2446.010909
601.301926,9,2447.287388
206.157656,24,2450.853234
201.957651,47,2457.097068
223.045211,16,2459.238358
240.870546,33,2463.57109
203.731924,28,2467.237659
265.838664,27,2470.841774
247.785067,11,2472.246601
268.49693,27,2475.923931
281.984552,34,2480.12001
197.733045,88,2491.726171
242.64027,33,2496.011219
551.920535,90,2507.965147
643.152941,2,2508.260882
214.565674,38,2513.821815
262.810025,9,2515.044986
568.291455,21,2518.259728
219.125219,23,2521.348349
217.888081,24,2524.686493
603.186784,9,2526.098775
289.605882,22,2528.736829
244.267755,63,2536.370759
236.795683,46,2542.13792
195.682244,36,2547.059379
593.248089,37,2552.116176
225.37392,64,2560.679241
223.73989,20,2563.2315
558.741599,36,2568.223124
209.084385,23,2571.3248
237.226275,48,2577.199855
207.774136,22,2580.017019
224.491459,72,2588.895737
220.193744,14,2590.868162
212.312653,19,2593.379226
572.275198,47,2599.790633
611.441184,52,2606.782189
217.260319,53,2613.8033
256.213679,25,2617.34401
566.905753,19,2619.905617
669.268873,4,2620.502229
204.86313,26,2623.890335
202.892091,22,2627.037604
614.472055,11,2628.661517
213.390799,47,2634.610293
224.434296,13,2636.356487
220.553698,26,2639.965211
658.270901,4,2640.565052
243.214528,15,2642.615766
650.638198,3,2643.174377
254.024896,34,2647.695643
225.769081,32,2651.931655
577.879864,46,2658.249911
231.88303,32,2662.836739
221.518845,11,2664.337745
217.740354,24,2667.859135
237.81546,45,2673.909844
208.109823,51,2680.925102
230.38089,26,2684.177497
211.92873,42,2689.83828
187.824364,33,2694.213171
582.790053,12,2695.948881
200.718579,40,2700.968205
207.589015,11,2702.378387
234.452462,25,2705.883538
228.162751,18,2708.296597
577.212785,44,2713.960307
210.97133,29,2718.294779
240.899987,25,2721.774653
226.946463,23,2724.915709
609.187376,10,2726.471552
250.687173,72,2736.17798
206.380461,46,2742.135348
206.229505,23,2745.311807
619.795707,6,2746.145279
610.382669,13,2747.755165
227.357485,32,2752.399648
259.348496,21,2755.241592
616.24681,8,2756.495599
225.775228,22,2759.504587
309.984314,9,2760.671533
201.583968,17,2762.97295
588.321885,49,2769.733508
209.375433,76,2779.457982
243.262736,94,2792.198421
201.665621,16,2794.363103
236.613959,14,2796.201245
271.229386,41,2801.150665
233.96953,44,2807.050596
549.640147,73,2816.425345
239.42432,36,2821.096155
194.199355,36,2825.932028
234.015708,20,2828.354076
567.691093,110,2841.880733
637.965576,4,2842.508804
197.994381,51,2849.483263
178.336853,37,2854.597356
222.226276,12,2856.294355
243.88353,56,2870.717786
219.430161,80,2881.482018
226.762794,46,2888.057538
215.107072,51,2894.901006
212.57965,20,2897.723163
566.972567,28,2901.314624
230.429886,56,2908.485381
596.371829,8,2909.664074
618.329631,6,2910.561098
680.0,1,2910.719593
645.552941,3,2911.165144
195.946681,35,2915.759834
680.0,1,2915.909603
606.886044,9,2917.055326
253.88889,9,2918.226407
221.35578,23,2921.203317
254.274099,18,2923.734568
235.780379,60,2931.136973
217.946753,74,2940.587639
208.482209,23,2943.615276
678.023529,2,2943.953157
540.682144,60,2951.712539
652.8,2,2952.070436
228.238065,30,2955.899603
279.239881,30,2959.666529
212.161691,32,2963.93052
558.273244,30,2967.767897
235.93326,31,2971.924253
223.166941,36,2976.40223
580.156143,15,2978.606716
680.0,1,2978.765899
221.443478,30,2983.132745
657.571301,3,2983.564889
224.199869,19,2986.098033
204.764839,22,2989.022646
576.914745,30,2993.014651
588.976921,14,2995.328704
606.89504,11,2996.847701
192.973401,52,3004.004161
192.113908,14,3005.831448
216.216811,27,3009.571852
225.686351,26,3013.317286
202.010083,27,3017.255459
619.023765,3,3017.726539
670.588235,2,3018.037742
267.601357,30,3021.620211
207.718872,81,3032.223134
255.433124,25,3035.49163
202.947449,69,3044.497563
246.859673,54,3052.062367
223.879972,24,3055.23915
618.260748,7,3056.277252
207.325843,24,3059.554781
641.856784,4,3060.156881
243.217433,44,3065.679739
571.844378,70,3074.871193
228.843147,30,3079.395686
582.664647,82,3090.377214
208.886475,31,3094.703644
213.794182,26,3098.383844
197.191821,38,3103.390262
588.69606,12,3104.919453
214.538488,32,3109.182086
572.042504,28,3112.920874
205.503684,29,3116.614564
241.132311,46,3122.577011
680.0,1,3122.720157
214.91106,27,3126.321552
671.476471,2,3126.669008
680.0,1,3126.847463
199.744017,13,3128.810068
209.747988,47,3135.143749
198.582263,13,3136.888939
251.648327,67,3145.352966
680.0,1,3145.501803
226.681524,18,3147.862251
251.902871,37,3152.798818
212.06745,9,3154.095775
232.305498,18,3156.756665
222.389348,43,3162.303408
191.503672,22,3165.2888
233.887339,12,3166.891
268.421996,15,3168.804779
224.78959,40,3173.791702
221.631577,17,3176.036863
206.243103,27,3180.263475
680.0,1,3180.437967
212.758641,118,3196.68024
561.75078,21,3199.813626
635.639768,3,3200.282658
232.902437,24,3203.818513
249.277805,13,3205.635514
207.652524,53,3212.555359
248.148304,14,3214.625682
231.007246,46,3220.542139
230.364992,50,3227.156818
222.388814,27,3230.468845
230.041999,13,3232.426246
238.78081,19,3234.996053
566.597639,149,3255.434585
223.403132,14,3257.311246
205.963355,18,3259.739503
680.0,1,3259.894701
575.939926,21,3262.861379
238.550666,26,3266.448276
202.942421,34,3271.231468
556.981248,44,3277.352817
644.459664,5,3278.147371
248.324032,19,3280.638598
231.793503,23,3283.637955
217.021649,28,3287.199012
205.302445,48,3293.638478
223.528332,58,3301.40378
243.287397,13,3303.532841
553.27358,79,3314.141593
556.477935,43,3320.1893
199.414224,41,3326.062163
221.124825,22,3329.00645
216.604434,7,3330.082652
597.330309,7,3331.134732
202.911675,69,3340.52797
182.048041,22,3343.443501
680.0,1,3343.589553
245.800035,21,3346.422904
213.927996,12,3348.152425
680.0,1,3348.301692
680.0,1,3348.449191
206.961255,20,3351.431368
242.713562,16,3353.677151
217.489813,27,3357.370846
221.981122,29,3361.431118
247.941673,21,3364.267389
268.441305,20,3367.046721
227.740646,12,3368.648297
668.847059,2,3368.99961
588.79994,13,3370.940105
226.66703,17,3373.656213
561.060194,36,3378.693783
222.524728,22,3381.563243
248.639581,38,3386.454228
245.735362,18,3389.015091
202.023095,29,3393.247548
215.179783,10,3394.787215
680.0,1,3394.939561
208.837605,23,3397.970269
220.439844,57,3405.548181
245.581609,21,3408.705857
238.457365,43,3414.547539
201.66142,9,3415.847863
237.146648,23,3419.137585
211.497982,53,3433.973561
680.0,1,3434.149884
656.611765,2,3434.474141
674.211765,2,3434.791631
680.0,1,3434.952922
584.248553,48,3441.944394
646.256768,3,3442.433878
578.06767,19,3445.079826
652.8,2,3445.384164
552.755879,48,3452.140598
680.0,1,3452.323229
209.557675,26,3456.214542
553.590635,70,3465.845371
224.453096,20,3468.812947
227.1825,15,3470.855995
668.847059,2,3471.203334
278.400509,50,3477.629189
238.891226,19,3480.489723
680.0,1,3480.651382
680.0,1,3480.811534
631.67965,41,3486.725905
215.740383,45,3492.693534
209.251853,35,3497.527944
255.382058,12,3499.355895
633.578571,4,3500.041705
583.432044,10,3501.72538
592.956014,19,3504.176269
614.05306,4,3504.771588
675.147059,2,3505.110348
216.760183,32,3509.640193
233.437082,11,3511.111101
653.634811,3,3511.588605
241.657396,35,3516.506895
559.260134,22,3519.521631
593.151667,13,3521.489618
670.588235,2,3521.781381
589.779636,8,3522.968417
680.0,1,3523.119733
203.81261,39,3528.972605
680.0,1,3529.140414
214.599339,40,3534.498967
248.448247,55,3541.563014
232.507165,6,3542.426403
217.071885,27,3546.000349
639.290872,3,3546.50462
203.328833,32,3551.209889
238.87726,88,3562.906551
617.842534,3,3563.37317
241.825383,23,3566.440295
670.588235,2,3566.734108
210.591494,38,3571.993455
680.0,1,3572.141375
215.148433,25,3575.514147
680.0,1,3575.698207
620.228242,6,3576.751691
680.0,1,3576.92645
672.202642,3,3577.404183
205.413512,52,3584.563079
594.793549,25,3588.183843
680.0,1,3588.335074
658.676471,2,3588.628271
674.211765,2,3588.92682
217.12596,55,3596.682535
234.073075,37,3601.975982
205.614144,41,3607.885648
195.732727,12,3609.515143
244.407778,53,3616.919438
680.0,1,3617.070852
570.730691,37,3622.465104
680.0,1,3622.649052
680.0,1,3622.830488
680.0,1,3623.000371
198.064334,23,3626.223345
637.788235,2,3626.533597
229.727519,18,3628.987999
260.406472,24,3632.482101
195.74252,57,3640.205632
561.399195,20,3643.142478
640.173053,4,3643.77484
680.0,1,3643.931074
589.272965,13,3645.627919
613.627934,33,3650.17807
220.992886,30,3654.464489
634.733269,4,3655.037524
268.826897,23,3658.249155
660.847059,2,3658.557108
585.40309,37,3663.605423
680.0,1,3663.749326
224.26724,14,3665.661885
578.560583,55,3672.924852
204.928256,66,3682.271777
552.577605,60,3690.123755
225.609239,22,3692.974102
611.551412,5,3693.757112
659.388235,2,3694.070836
640.430618,5,3694.793537
674.211765,2,3695.084689
673.288235,2,3695.375086
680.0,1,3695.521054
623.462499,4,3696.097311
209.844481,14,3698.121108
642.87834,6,3699.133524
622.672172,4,3699.848261
231.077615,46,3705.982315
611.742549,6,3706.753648
285.550463,23,3709.745144
198.555022,33,3714.262722
680.0,1,3714.429987
680.0,1,3714.59297
211.106227,35,3719.042556
561.609217,20,3721.925367
549.833901,45,3728.908597
205.243983,28,3732.578195
680.0,1,3732.752857
680.0,1,3732.92948
238.393416,21,3736.179099
215.772467,41,3741.421521
657.903922,40,3747.044038
209.050797,20,3749.88579
239.595118,37,3754.471112
622.071783,5,3755.108469
249.885659,19,3757.887902
680.0,1,3758.038087
680.0,1,3758.190921
618.802486,5,3758.972478
680.0,1,3759.143252
644.073553,4,3759.726976
564.259024,27,3763.170462
680.0,1,3763.322155
662.352941,2,3763.620896
680.0,1,3763.768921
224.149866,18,3766.243409
680.0,1,3766.396488
230.97368,49,3773.38846
676.094118,2,3773.68145
633.782037,3,3774.101334
231.390441,12,3775.734222
680.0,1,3775.888619
243.084345,27,3779.55739
638.299222,4,3780.200782
633.40922,4,3780.776821
213.113987,19,3783.298987
237.31342,31,3787.963737
659.388235,2,3788.304014
671.476471,2,3788.63436
680.0,1,3788.797134
570.417182,18,3791.536759
680.0,1,3791.692563
249.513469,21,3794.391024
646.911765,2,3794.671466
221.037487,70,3804.008449
680.0,1,3804.155152
200.725876,36,3808.850544
637.505882,2,3809.125164
656.611765,2,3809.444487
674.211765,2,3809.781802
191.524838,34,3814.63509
651.229352,5,3815.486607
201.289058,31,3819.853315
225.304522,36,3824.90023
198.58717,34,3829.806286
638.494118,2,3830.092618
659.388235,2,3830.414813
676.094118,2,3830.756457
584.928759,11,3832.348158
613.886096,5,3833.135316
282.352941,1,3833.288897
218.560571,28,3837.255318
676.094118,2,3837.596862
679.005882,2,3837.922119
639.852941,2,3838.224597
614.297034,5,3838.958555
216.70954,32,3843.147094
207.779268,28,3847.177099
232.170423,18,3849.846139
593.131708,7,3850.951255
649.65338,3,3851.431817
670.588235,2,3851.732759
680.0,1,3851.879309
265.745675,24,3855.209654
584.503306,24,3858.196393
623.401255,7,3859.176439
680.0,1,3859.344299
642.161562,3,3859.818615
218.132885,18,3862.543068
225.405614,11,3864.168668
249.471158,20,3867.002361
680.0,1,3867.153524
575.403515,83,3878.077356
680.0,1,3878.252587
630.026755,3,3878.759545
595.823934,9,3880.479706
680.0,1,3880.698219
680.0,1,3880.885056
202.170654,47,3887.36994
601.41129,17,3889.525795
577.985777,10,3890.97772
233.72451,25,3894.338719
234.96671,23,3897.327561
240.578693,51,3904.623472
592.094136,10,3906.04223
680.0,1,3906.210357
233.675077,11,3907.577945
582.532461,51,3914.909865
591.119746,6,3915.994822
236.460061,21,3918.841573
680.0,1,3919.025001
672.376471,2,3919.357873
216.942631,27,3923.024069
209.494745,33,3927.579552
218.38919,29,3931.411712
615.403352,5,3932.138876
680.0,1,3932.298012
234.852646,14,3934.200829
209.117172,73,3944.484396
556.611735,20,3946.993153
276.606384,20,3949.700502
550.715268,104,3963.898891
660.847059,2,3964.18527
250.025967,20,3966.845762
213.074704,47,3973.248957
209.312623,39,3978.489416
233.508494,27,3982.41085
239.514674,19,3985.00549
680.0,1,3985.152426
645.552941,2,3985.434022
244.974664,36,3990.194164
598.762765,5,3990.857225
224.384794,31,3995.086547
680.0,1,3995.230274
207.74989,11,3996.819554
579.599983,11,3998.367231
