#{"t_start": 1750221080.416287, "env_id": "None"}
r,l,t
194.444024,38,24.790127
250.279512,37,46.894333
191.624924,47,76.001724
211.863274,80,120.804192
221.380292,51,150.323878
215.390406,43,174.474772
201.015255,34,193.693156
210.952956,32,211.926101
218.061458,45,236.787473
200.247105,50,264.317666
191.490589,28,279.431172
195.574233,44,303.804375
212.868026,31,320.056962
200.093676,24,332.94511
201.970912,114,392.538477
199.195372,55,423.256434
207.899876,27,438.687779
209.523846,104,504.362987
228.810188,51,533.68675
241.644802,63,568.306012
255.458915,35,586.676826
196.125372,37,606.8531
229.817845,92,655.46567
544.522887,87,703.30416
198.556357,21,714.854763
202.304761,47,741.876427
218.249073,30,757.735457
212.20751,29,773.120685
213.302533,60,805.718749
194.465108,60,838.808784
220.385572,18,848.704998
256.248058,28,864.671496
203.427143,41,887.352727
200.457403,77,929.396783
228.563167,26,942.798576
210.140683,42,967.150405
191.862668,34,987.136599
203.017125,46,1013.158301
219.324868,54,1041.979389
262.987786,6,1045.400599
210.051981,22,1057.974816
202.596581,43,1083.786355
269.253761,48,1110.197163
225.783634,55,1140.852638
238.700648,34,1158.490793
214.632707,27,1173.700294
224.919146,9,1178.467818
190.827819,21,1189.654222
178.963094,34,1209.149085
212.966405,71,1248.633758
297.913025,17,1258.008512
201.429401,53,1286.095709
210.944402,48,1312.369614
218.018423,74,1351.033327
198.454694,56,1381.822159
211.547563,16,1390.818593
227.118945,42,1413.520314
562.196622,76,1454.868636
206.505605,88,1502.511165
206.923883,41,1523.996153
200.406921,43,1547.769617
229.261479,19,1557.864277
568.219275,15,1566.226738
229.373247,68,1604.95175
209.563492,59,1636.644562
547.411216,81,1680.914766
222.221853,29,1695.671163
229.54427,37,1715.151006
204.122987,35,1734.485331
207.92075,18,1745.196847
217.362665,60,1777.407725
217.606032,26,1791.884557
210.410001,115,1852.614115
187.710275,13,1860.318951
201.221148,50,1888.643521
211.154312,11,1894.784997
208.520562,23,1907.031667
229.840055,23,1919.29368
545.60755,98,1972.031132
223.166509,55,2001.839031
233.775633,39,2022.926139
235.315676,56,2054.137678
199.094334,22,2066.458438
207.903942,47,2093.073021
206.546045,65,2127.965749
214.522805,77,2169.806446
207.752456,41,2191.615437
201.513671,34,2209.407998
539.512443,49,2236.114657
210.608397,35,2254.433744
