#{"t_start": 1750971950.2205482, "env_id": "None"}
r,l,t
232.07639,78,21.422587
202.868274,19,26.508213
198.626871,53,40.569801
203.300439,53,55.228656
221.745497,93,79.045002
202.168772,24,85.704674
201.986567,19,90.663943
207.431865,22,96.653753
244.299964,37,106.563023
243.296366,24,113.358038
220.162922,45,125.168803
173.323257,35,134.116714
256.569688,30,142.172462
196.04891,57,157.530596
209.527209,41,169.281082
210.259782,37,179.319174
185.809294,34,188.2702
240.076534,13,191.89126
198.957382,35,201.739748
198.285012,66,218.918185
191.96686,26,225.646728
205.753985,37,236.021059
225.11672,12,239.342429
229.309751,26,246.668389
198.216054,45,259.177371
200.961726,59,275.111089
541.080419,43,287.391357
206.541469,36,297.690797
551.529678,61,313.815623
559.24681,30,321.594947
216.185018,65,339.052171
220.067249,47,351.924452
214.701689,54,366.198405
555.904575,53,380.423008
549.875613,99,406.190189
212.686185,33,414.806052
233.522326,40,425.879782
213.524536,26,432.800249
231.137209,50,446.376085
218.392364,19,451.814108
201.239888,36,461.734779
201.323197,69,480.556319
194.24321,39,490.904032
201.808028,88,514.408652
212.423409,31,522.873257
243.967515,56,538.686656
192.277173,16,543.082158
212.536043,20,548.318832
216.04052,48,577.668308
232.060458,28,585.117351
576.610467,70,604.057827
214.02408,31,612.722451
187.389893,25,619.671683
221.884668,58,635.656877
191.61908,35,644.828689
221.361498,20,650.593909
239.443028,54,664.994078
206.544978,55,679.775798
547.273143,126,713.350256
178.400052,37,723.503619
214.332487,20,729.319067
230.268366,10,732.134628
227.570987,63,749.152773
215.71397,87,772.151872
235.074587,30,780.127175
216.388235,12,783.539762
197.280989,47,796.127409
215.104193,34,805.029041
239.764584,63,822.270415
203.729852,78,843.514675
225.805379,39,854.088697
210.467951,53,868.348746
561.306086,54,883.046748
210.788213,25,889.697406
220.417515,39,900.204694
546.595236,42,911.576751
181.381767,33,920.629187
212.436748,83,943.582454
204.97701,40,954.427292
225.02673,64,971.620088
205.107786,104,999.616604
198.097476,42,1011.307403
214.892555,50,1024.731788
196.400666,34,1063.815013
252.307235,84,1085.943066
211.937733,40,1097.08189
558.329886,33,1105.792584
218.508096,56,1120.80097
199.335686,41,1132.16064
209.674055,44,1143.699696
226.605983,46,1170.769993
189.511995,38,1180.856774
217.581257,67,1199.352898
199.579161,77,1220.300989
225.33106,56,1235.477802
282.413419,25,1241.917132
198.789852,39,1252.484926
205.531961,68,1271.132381
209.476932,33,1279.919712
257.863179,18,1284.87102
225.47574,28,1292.684532
223.732251,83,1314.790131
309.649911,31,1323.297099
597.799738,73,1342.38035
190.682862,28,1349.768809
189.336163,41,1360.943697
190.610824,18,1366.201007
226.78614,13,1370.000046
203.561557,61,1386.130709
215.32418,42,1397.664264
230.334083,35,1407.4949
574.496947,62,1424.184311
586.491019,36,1435.01474
206.239422,22,1440.841307
586.716435,69,1459.125529
215.772327,32,1467.970501
206.758163,57,1482.928972
215.720852,23,1489.428152
180.45464,33,1498.821268
212.900625,43,1510.569261
637.504322,3,1511.481327
570.170695,53,1526.261122
202.325691,45,1538.327547
571.997868,11,1541.226618
276.338528,20,1546.348084
216.949085,51,1560.105935
568.015416,15,1564.169448
188.757892,81,1585.82105
220.39106,50,1599.280142
212.0346,39,1609.971273
198.797106,42,1621.553443
227.55754,20,1627.35118
209.313077,63,1644.089366
248.057381,40,1654.893864
234.812529,37,1664.633962
202.015503,24,1671.093184
218.571619,33,1679.894227
200.334839,35,1689.602354
190.887134,28,1696.964664
185.266437,27,1704.418905
220.038103,26,1711.742768
198.313456,51,1742.454977
256.847606,53,1757.045065
205.001172,31,1765.47374
209.541121,13,1769.149371
209.083022,74,1789.150371
259.263329,22,1795.049163
224.914077,18,1799.946856
205.524331,106,1828.30008
219.463088,21,1833.905011
242.842198,17,1838.44239
231.620534,9,1840.756531
219.505311,26,1847.858334
236.659103,21,1853.885143
228.257292,32,1862.392584
198.769348,29,1870.573496
207.484404,17,1875.384689
209.395072,18,1880.322606
217.347797,51,1894.210051
225.991369,30,1902.892376
230.951469,33,1911.985668
210.04183,19,1917.021497
205.199914,94,1941.654831
241.399651,81,1962.7457
216.191578,42,1974.213277
242.816056,17,1978.965956
238.485819,18,1984.457261
206.743272,60,2000.161452
201.206788,33,2009.081142
203.541761,38,2019.100011
195.537775,29,2027.062876
231.127925,20,2032.786638
246.728274,30,2041.44044
241.770521,37,2051.709391
235.215292,41,2062.995543
259.162921,72,2082.340731
178.122012,18,2087.475048
219.905774,20,2093.488565
186.074042,18,2098.756934
237.857041,11,2101.857018
204.554856,20,2107.57479
217.49891,27,2114.932232
255.587578,13,2118.558567
218.094476,32,2128.035312
212.570493,32,2137.70199
193.575866,44,2149.89113
551.135901,74,2169.978915
228.904332,39,2180.56573
265.89488,55,2195.56483
222.485418,57,2210.752305
565.566817,117,2242.664894
