#{"t_start": 1750917042.06372, "env_id": "None"}
r,l,t
203.138846,91,24.544716
225.838039,36,34.599231
572.905006,27,41.640133
216.948425,97,66.919751
219.877108,62,83.292261
203.346381,39,93.495341
200.934384,77,113.904417
245.388166,35,123.177817
206.63831,42,134.129119
217.635615,41,144.823255
260.285355,16,149.197125
210.157115,57,164.777824
201.423013,30,172.496911
201.329851,52,186.272744
232.449128,27,193.698313
199.766471,50,207.282451
211.893113,45,219.048265
205.425825,39,229.783047
